tag,n_pair,mean,t_p,med,wilcox_p,worse,sign_p,q10,q90,dJ_typ,dJ_tail,succ_pol,succ_ref,n_all,mcnemar_p
R1 vs k13 L250 n500,475,21.939168235377263,1.9619460320921474e-08,26.301101684570312,3.27664240598416e-19,346,5.8783876865730016e-24,-53.80976562499999,101.03297729492189,60.50400200210699,-139.46060434977213,500,475,500,5.960464477539063e-08
R1 vs k14 L250 n500,461,15.611581417588503,0.000850387271383303,27.5811767578125,1.0835856186518682e-15,325,6.47021357933459e-19,-69.79702758789062,98.102294921875,59.83449078844739,-185.56075552235478,500,461,500,3.637978807091713e-12
R1 vs k16 L250 n500,449,16.060891166296198,0.00013381994275128825,25.4849853515625,1.2073378911476348e-11,316,2.9692353050686504e-18,-77.67887268066406,96.11096496582029,60.402433471679686,-159.0627176920573,500,449,500,8.881784197001252e-16
R1 vs k18 L250 n500,431,-4.390179645157747,0.3422652219863741,13.549240112304716,0.13264101840185866,251,0.0007285436637669438,-124.50572204589844,90.21676635742188,51.159240122194646,-202.96788947526798,500,431,500,3.3881317890172014e-21
R1 vs k12 L250 n500,460,26.115843233854875,3.0141770193563893e-12,27.167129516601562,9.181548378020087e-23,336,1.2058877804882384e-23,-41.79473876953125,102.56113510131837,57.97369537353516,-95.328555231509,500,460,500,1.8189894035458565e-12
R1 vs k13 L500 n500,463,65.84596476544571,1.0059169650569825e-15,67.26873779296875,6.623489585758541e-48,411,2.4742911157338855e-70,-9.692596435546895,140.2021606445313,100.68918228149414,-115.69132378760804,499,464,500,5.529727786779404e-10
R1 vs k14 L500 n500,448,74.82417159421104,2.3244065975359536e-12,68.26551818847658,5.485057254937395e-49,395,9.937312086388637e-66,-11.22030639648436,141.54515380859377,128.74728996413094,-132.20530836317275,499,449,500,2.353672812205332e-14
R1 vs k16 L500 n500,424,73.47979968448855,2.141162754190144e-12,63.453025817871094,3.4304485192822483e-43,358,1.266380755887296e-49,-21.47351531982423,141.80599212646482,108.96940817922916,-17.652756092160246,499,425,500,2.0381730293306602e-21
R1 vs k18 L500 n500,453,34.91190744025292,0.0005375180079404938,43.2799835205078,1.2507570954816167e-09,316,2.337766860714697e-17,-128.9326538085937,120.22837829589847,82.74495256734839,-188.7422674427862,499,454,500,6.821210263296962e-13
R1 vs k12 L500 n500,454,75.69058227539062,1.2503589727900014e-12,68.17547607421875,5.168847476563192e-52,405,8.578545798916406e-71,-3.656132507324214,147.9839859008789,114.32827584018791,-107.13389487888502,499,455,500,1.3358203432289883e-12
C1 vs k13 L250 n500,474,-7.854885503712585,0.06167517084215797,-1.691680908203125,0.23144468867374668,232,0.6793698263020792,-87.89490203857422,72.79589385986327,33.07051717379928,-177.65475145975748,499,475,500,8.046627044677734e-07
